date,US_bonds_11,US_bonds_12,US_bonds_13,US_bonds_14,US_bonds_15,US_bonds_16,US_bonds_17,US_bonds_18,US_bonds_19,US_bonds_20
Aug-79,-0.030686901,-0.022162811,-0.020075999,-0.016669884,-0.013343429,-0.00999142,-0.006821628,-0.004876663,-0.00461458,0.012989185
Sep-79,-0.043682401,-0.029722598,-0.031938692,-0.033345285,-0.034313802,-0.032417872,-0.033340399,-0.034867739,-0.035069122,-0.033575265
Oct-79,-0.093311909,-0.097514959,-0.095310663,-0.094523369,-0.098486605,-0.095304595,-0.093099121,-0.094997858,-0.097763853,-0.089929028
Nov-79,-0.021020136,-0.005795534,-0.000875476,0.000674215,0.00465638,0.003833663,0.007893011,0.013747139,0.016059336,0.02589006
Dec-79,-0.026461071,-0.025163085,-0.026219293,-0.022506718,-0.018587827,-0.019128267,-0.015150916,-0.010515899,-0.011540499,0.00600665
Jan-80,-0.054916127,-0.061568918,-0.063045557,-0.06164223,-0.059365168,-0.055406004,-0.054296539,-0.052428772,-0.051226261,-0.011064137
Feb-80,-0.092719065,-0.098303069,-0.09891711,-0.097084731,-0.095509382,-0.090304993,-0.089557582,-0.08953106,-0.089432477,-0.087755294
Mar-80,-0.059723506,-0.040068807,-0.041492337,-0.034851708,-0.031015096,-0.026114313,-0.022665557,-0.026010961,-0.03123731,-0.027270281
Apr-80,0.02967266,0.069697859,0.079805377,0.089062036,0.10210376,0.101517145,0.110107746,0.11069666,0.112916537,0.076994676
May-80,0.028101387,0.040281048,0.041616696,0.04853043,0.049611357,0.052865259,0.046019883,0.047629729,0.040540442,0.050841731
Jun-80,0.004966524,0.013803504,0.011556871,0.014847691,0.014548087,0.01551005,0.019777194,0.015847853,0.013922115,0.037862058
Jul-80,-0.026001679,-0.026264197,-0.036614368,-0.038609933,-0.035151171,-0.033056861,-0.031503898,-0.032886736,-0.037747852,-0.019007352
Aug-80,-0.060452716,-0.065239223,-0.064267271,-0.060917747,-0.057150546,-0.054151614,-0.048647261,-0.041657562,-0.024058577,-0.017716416
Sep-80,-0.051716942,-0.04497759,-0.037434864,-0.036887016,-0.041696184,-0.036519003,-0.030716325,-0.027369798,-0.020796539,-0.004178874
Oct-80,-0.060312845,-0.044623205,-0.03191795,-0.027390076,-0.022423065,-0.016898916,-0.014997884,-0.013718748,-0.010148883,0.006163575
Nov-80,-0.066355262,-0.047984924,-0.038024229,-0.033092092,-0.026609862,-0.022799836,-0.015683753,-0.014127025,-0.012607531,-0.009216618
Dec-80,-0.052123067,-0.020637677,-0.013484288,-0.011675714,0.003012684,0.009857815,0.011722772,0.012618032,0.010557143,-0.001451309
Jan-81,-0.056737508,-0.04262815,-0.036689707,-0.031652294,-0.02285647,-0.015284216,-0.00892391,-0.005580035,-0.001114079,0.01364981
Feb-81,-0.068223497,-0.062055974,-0.059285861,-0.053588271,-0.047613445,-0.041533058,-0.038792101,-0.035325271,-0.031817848,-0.013578416
Mar-81,-0.041897213,-0.023823424,-0.024593492,-0.016270878,-0.003204207,0.004727759,0.009697281,0.011089288,0.01632041,0.015851564
Apr-81,-0.080488298,-0.08309212,-0.078198733,-0.08085057,-0.077227743,-0.072897129,-0.070325711,-0.070603383,-0.060572811,-0.032203572
May-81,-0.060843564,-0.019559358,-0.014281858,-0.004998055,0.009723331,0.024191648,0.033339992,0.033130129,0.035376033,0.02652525
Jun-81,-0.063040026,-0.043221432,-0.033508442,-0.030175302,-0.022706003,-0.014588305,-0.011728777,-0.012013294,-0.006648168,0.008625901
Jul-81,-0.087280415,-0.069985885,-0.056434814,-0.048434446,-0.044307321,-0.038346229,-0.034697769,-0.031355663,-0.024885531,-0.020908475
Aug-81,-0.090479664,-0.085526802,-0.069684927,-0.063283053,-0.055273739,-0.048145866,-0.043977761,-0.043493636,-0.037149284,-0.022578155
Sep-81,-0.083483976,-0.066803591,-0.05193396,-0.045208133,-0.037636134,-0.032614861,-0.029773252,-0.02636442,-0.023486268,-0.026008507
Oct-81,-0.026806357,-0.018097324,-0.007367846,0.015512279,0.043227744,0.03801984,0.037745986,0.045726827,0.045864925,0.03436482
Nov-81,0.046465598,0.062159119,0.058120339,0.074921172,0.080462592,0.083882999,0.078124496,0.080862987,0.075563195,0.05882146
Dec-81,-0.07649724,-0.080270595,-0.072807554,-0.066426734,-0.071664965,-0.069441701,-0.064465821,-0.058903584,-0.048741452,-0.026033784
Jan-82,-0.056754771,-0.048214007,-0.038730453,-0.026685577,-0.016333448,-0.014044451,-0.008526482,-0.004785655,-0.001722364,0.002193761
Feb-82,-0.041275969,-0.032364597,-0.02194279,-0.012835388,-0.000202325,0.007223295,0.007129477,0.009284119,0.008905472,0.009837392
Mar-82,-0.051215375,-0.036391097,-0.021798499,-0.013013445,-0.002800861,0.002914371,0.008130333,0.01142483,0.013525619,0.008879442
Apr-82,-0.035224233,-0.018856711,-0.010677333,0.003010175,0.01383534,0.022831398,0.028866256,0.032103605,0.036718687,0.037965898
May-82,-0.045127472,-0.028406105,-0.018687202,-0.012019893,0.000974591,0.006335999,0.009201766,0.012148559,0.017632706,0.030899104
Jun-82,-0.077963303,-0.07074658,-0.065286426,-0.050868119,-0.045586866,-0.041525685,-0.039834149,-0.040459342,-0.027729708,-0.012691001
Jul-82,-0.002645771,-0.003767692,-0.00257604,0.006976583,0.020913371,0.028274991,0.031449978,0.031288871,0.031751445,0.0306407
Aug-82,0.018018793,0.035801348,0.036863776,0.042474235,0.049798758,0.053461632,0.053715971,0.054844636,0.058315224,0.050397399
Sep-82,-0.001802438,0.007077791,0.014628637,0.035424664,0.038084304,0.041818501,0.035285685,0.035955853,0.037415284,0.027652142
Oct-82,0.032400476,0.04253219,0.053892369,0.058061383,0.055394167,0.059841308,0.058262608,0.06002858,0.05304725,0.056894544
Nov-82,-0.01289991,-0.012509413,-0.008937062,-0.003166228,7.96E-05,0.009138468,0.014089675,0.011652735,0.030261848,0.047977151
Dec-82,-0.002251992,0.000400333,-0.002446394,0.006769199,0.011077485,0.012053515,0.015029493,0.021158412,0.027682799,0.038326778
Jan-83,-0.017524493,-0.012495753,-0.019214332,-0.013963511,-0.011839647,-0.004302834,0.000210241,0.008846576,0.018922129,0.049166022
Feb-83,0.008054631,0.011706894,0.012536227,0.024473901,0.024542938,0.023297247,0.025344205,0.025688206,0.027388712,0.040415013
Mar-83,-0.019913113,-0.014948377,-0.006050438,-0.002126807,-0.000503561,0.002252374,0.009980072,0.016113877,0.023879917,0.029563218
Apr-83,-0.007132784,0.012576907,0.024660527,0.027501715,0.031783163,0.035778713,0.037793732,0.032866956,0.035889845,0.041908591
May-83,-0.046840491,-0.036373567,-0.031649336,-0.033602478,-0.031246976,-0.034097751,-0.034088349,-0.023046618,-0.0156513,-0.003363519
Jun-83,-0.037750742,-0.024191789,-0.020192483,-0.018911267,-0.016197665,-0.012921453,-0.010343892,-0.007037892,0.000934785,0.009181166
Jul-83,-0.060613745,-0.038908512,-0.040801699,-0.046475506,-0.044660529,-0.04849016,-0.047403827,-0.04222635,-0.026496802,-0.000934682
Aug-83,-0.039262824,-0.027018867,-0.016167665,-0.014177439,-0.012463008,-0.015106934,-0.009915053,-0.003304602,0.002580417,0.01307996
Sep-83,-0.0131215,0.004277892,0.007805707,0.015553,0.020711367,0.021888418,0.026497148,0.028506003,0.025293924,0.024696592
Oct-83,-0.037536824,-0.018808208,-0.017049379,-0.016710009,-0.01660444,-0.016240519,-0.017246225,-0.014843959,-0.003361407,0.015471809
Nov-83,-0.01530039,-0.014487849,-0.007574375,-0.004619736,-0.004336227,-0.002657595,0.000111189,0.001360929,0.000799291,0.007072378
Dec-83,-0.03307861,-0.02184035,-0.020462547,-0.019980792,-0.015843662,-0.017278891,-0.016671007,-0.020132676,-0.019925917,-0.008178358
Jan-84,0.020715711,-0.004190716,0.002320224,0.003623978,0.011170429,0.010939307,0.01539689,0.024136594,0.027874424,0.01902083
Feb-84,-0.04722339,-0.036856593,-0.024405879,-0.026325499,-0.027968273,-0.02854405,-0.025210405,-0.020443788,-0.011713772,0.009120969
Mar-84,-0.060153478,-0.04576288,-0.031330552,-0.030935485,-0.029834911,-0.028947822,-0.026352249,-0.023935942,-0.02538688,-0.011061141
Apr-84,-0.040492453,-0.036659987,-0.025265141,-0.034146562,-0.031703527,-0.027550674,-0.025665379,-0.021458891,-0.017449638,-0.017745762
